Date,Depth,Density,Latitude,Longitude
2019-12-22 12:00:00,0.23793438,347.11316,86.67057667,112.6504617
2019-12-23 12:00:00,0.23721328,348.58096,86.63938,113.171265
2019-12-24 12:00:00,0.23312692,354.77686,86.62340333,113.9466333
2019-12-25 12:00:00,0.23121135,357.94244,86.624995,115.0235767
2019-12-26 12:00:00,0.23506993,353.28735,86.65433333,115.8989883
2019-12-27 12:00:00,0.24067473,346.36636,86.67908333,115.9433017
2019-12-28 12:00:00,0.24709624,338.8041,86.67292667,115.709095
2019-12-29 12:00:00,0.25074378,335.4812,86.643275,115.8264567
2019-12-30 12:00:00,0.24732688,340.2918,86.595605,116.8917817
2019-12-31 12:00:00,0.24679492,341.24918,86.59265833,117.893095
2020-01-01 12:00:00,0.24325383,346.84384,86.70799,117.9266867
2020-01-02 12:00:00,0.24332187,350.4233,86.82888167,116.5466917
2020-01-03 12:00:00,0.24930882,344.41492,86.91645333,115.689555
2020-01-04 12:00:00,0.25145516,344.8605,87.00869667,115.387885
2020-01-05 12:00:00,0.26040187,334.96817,87.07066667,115.31694
2020-01-06 12:00:00,0.26713815,327.98627,87.1042225,115.156095
2020-01-07 12:00:00,0.27103993,324.2778,87.12037667,114.9748267
2020-01-08 12:00:00,0.27312934,322.48584,87.11362667,115.1725517
2020-01-09 12:00:00,0.2732267,322.7427,87.14539,114.2071867
2020-01-10 12:00:00,0.27284345,323.74957,87.17823833,112.69168
2020-01-11 12:00:00,0.27378792,323.97452,87.22578167,111.018145
2020-01-12 12:00:00,0.26754513,332.62927,87.27705,109.3411633
2020-01-13 12:00:00,0.26178658,342.32806,87.34016667,106.978845
2020-01-14 12:00:00,0.2699599,336.48624,87.41346333,104.938605
2020-01-15 12:00:00,0.26435548,345.28314,87.47744167,103.1684983
2020-01-16 12:00:00,0.26363719,348.6089,87.56333167,101.4704483
2020-01-17 12:00:00,0.27846032,340.7103,87.49676333,99.17705167
2020-01-18 12:00:00,0.30835986,314.0545,87.40116667,98.28025667
2020-01-19 12:00:00,0.30857983,314.19553,87.40010833,98.37054
2020-01-20 12:00:00,0.30436724,319.8186,87.45265833,97.361825
2020-01-21 12:00:00,0.3024351,322.39307,87.48917667,96.06629833
2020-01-22 12:00:00,0.30236724,322.76514,87.47552667,94.86849833
2020-01-23 12:00:00,0.30204803,323.38345,87.43959833,93.92371333
2020-01-24 12:00:00,0.3039437,321.96283,87.41945167,93.07948
2020-01-25 12:00:00,0.30605936,320.69165,87.402995,92.82369
2020-01-26 12:00:00,0.29309586,334.69623,87.41663833,93.81956
2020-01-27 12:00:00,0.29624048,333.8544,87.44805333,95.79326
2020-01-28 12:00:00,0.29809704,332.28653,87.45636,95.72252667
2020-01-29 12:00:00,0.30691087,327.5498,87.47237167,95.15884667
2020-01-30 12:00:00,0.30019465,336.56827,87.453915,96.53979167
2020-01-31 12:00:00,0.34205672,303.3254,87.46627,96.31814667
2020-02-01 12:00:00,0.3191803,324.88245,87.39012833,95.660575
2020-02-02 12:00:00,0.31892708,327.30048,87.35253,94.66474667
2020-02-03 12:00:00,0.31978697,330.99374,87.42529,93.51783
2020-02-04 12:00:00,0.31284475,338.49838,87.48134667,95.324325
2020-02-05 12:00:00,0.31028315,342.4163,87.54880333,94.780395
2020-02-06 12:00:00,0.3290739,326.15558,87.61196667,93.94961833
2020-02-07 12:00:00,0.33687422,320.30298,87.64211833,93.785005
2020-02-08 12:00:00,0.3422321,316.50397,87.67801833,93.7773
2020-02-09 12:00:00,0.33609113,323.3426,87.73404667,92.898855
2020-02-10 12:00:00,0.32680428,333.52783,87.79046,91.67579333
2020-02-11 12:00:00,0.32117724,339.63647,87.82517167,89.735875
2020-02-12 12:00:00,0.31271023,349.3836,87.88338,87.37601167
2020-02-13 12:00:00,0.30239326,362.0187,87.96982667,83.86562833
2020-02-14 12:00:00,0.33206546,336.51996,88.03078833,80.26762167
2020-02-15 12:00:00,0.332607,336.36838,88.06845167,79.786785
2020-02-16 12:00:00,0.3277663,341.76724,88.066575,79.73824
2020-02-17 12:00:00,0.3244167,345.76456,88.07396333,78.802905
2020-02-18 12:00:00,0.325456,349.63275,88.11486,76.97881
